product_code,sales_trend,total_sales,total_prev_week_1_sales,total_prev_week_2_sales,avg_movement_vs_prev_week_1,avg_movement_vs_prev_week_2,week_count,date_range,growth_score_x,growth_score_y
1022810404.0,Rising,15.0,5.0,0.0,50.0,0.0,2,2025-05-05 to 2025-06-02,-0.8460891582623373,-0.8460891582623373
1037416200.0,Rising,47.94,39.95,31.96,10.0,-10.0,5,2025-05-05 to 2025-06-16,-0.9072486193251664,-0.9072486193251664
1037416201.0,Rising,63.92,39.95,23.97,25.0,50.0,4,2025-05-05 to 2025-06-09,-0.8843138214266055,-0.8843138214266055
1037416205.0,Rising,111.86,63.92,47.94,38.88833333333333,88.88833333333334,6,2025-05-05 to 2025-06-09,-0.8630787468834158,-0.8630787468834158
1037422282.0,Rising,53.91,47.92,41.93,26.665999999999997,13.331999999999999,5,2025-04-28 to 2025-06-09,-0.8817665298733387,-0.8817665298733387
1037422285.0,Rising,47.92,35.94,23.96,20.0,40.0,5,2025-05-05 to 2025-06-09,-0.8919587540594591,-0.8919587540594591
1037442060.0,Rising,154.9,122.92,106.93,3.335000000000001,-1.849999999999999,6,2025-05-05 to 2025-06-09,-0.9174393145247604,-0.9174393145247604
1037442063.0,Rising,59.96,14.99,0.0,100.0,0.0,2,2025-05-12 to 2025-05-26,-0.7696398319338009,-0.7696398319338009
1066807502.0,Rising,77.85,43.25,34.6,108.3325,8.3325,4,2025-04-28 to 2025-06-02,-0.7568995517011503,-0.7568995517011503
1066807519.0,Rising,60.55,51.9,34.6,29.1675,8.3325,4,2025-04-28 to 2025-06-16,-0.877941770077122,-0.877941770077122
1066807524.0,Rising,34.6,17.3,8.65,33.333333333333336,33.333333333333336,3,2025-05-19 to 2025-06-09,-0.8715722670385161,-0.8715722670385161
1070002152.0,Rising,30.21,28.62,23.85,47.379999999999995,12.142857142857142,7,2025-04-28 to 2025-06-16,-0.8500951029619527,-0.8500951029619527
1070002440.0,Rising,11.83,10.14,8.45,8.333333333333334,-8.333333333333334,6,2025-04-28 to 2025-06-09,-0.9097969302027843,-0.9097969302027843
1070006080.0,Rising,64.35,56.099999999999994,44.55,200.19285714285715,90.53142857142856,7,2025-04-28 to 2025-06-09,-0.6164463033037466,-0.6164463033037466
1070050180.0,Rising,28.71,19.14,15.95,40.0,10.0,5,2025-05-05 to 2025-06-09,-0.8613790235280446,-0.8613790235280446
1070053005.0,Rising,96.33,81.78,67.22999999999999,4.759999999999999,9.285,6,2025-05-05 to 2025-06-16,-0.915260508724397,-0.915260508724397
1070053006.0,Rising,57.06999999999999,52.67999999999999,35.12,50.833333333333336,103.33333333333333,6,2025-05-05 to 2025-06-16,-0.8448150028235284,-0.8448150028235284
1070053100.0,Rising,25.52,12.76,9.57,60.0,60.0,5,2025-05-05 to 2025-06-09,-0.83079929299663,-0.83079929299663
1070070230.0,Rising,30.83,23.45,10.05,38.7675,77.5375,4,2025-05-05 to 2025-06-02,-0.8632634994220431,-0.8632634994220431
1070070810.0,Rising,59.400000000000006,39.6,24.75,47.221666666666664,75.0,6,2025-05-05 to 2025-06-09,-0.8503371924953264,-0.8503371924953264
1070080422.0,Rising,54.45,52.8,44.55,13.85375,26.146250000000002,8,2025-04-28 to 2025-06-16,-0.9013562874983945,-0.9013562874983945
1070080722.0,Rising,47.85,46.2,39.6,11.97875,9.895,8,2025-04-28 to 2025-06-16,-0.9042231372357146,-0.9042231372357146
1070080727.0,Rising,97.11,94.62,79.68,75.4475,59.598749999999995,8,2025-04-28 to 2025-06-16,-0.8071802736274287,-0.8071802736274287
1090000015.0,Rising,74.25,54.0,40.5,16.666666666666668,33.333333333333336,6,2025-04-28 to 2025-06-09,-0.897055375814695,-0.897055375814695
1090000018.0,Rising,117.52,88.14,73.45,20.8325,-20.8325,4,2025-05-05 to 2025-05-26,-0.890685872776089,-0.890685872776089
1090000021.0,Rising,101.25,94.5,81.0,30.208750000000002,41.66625,8,2025-04-28 to 2025-06-16,-0.8763497128563302,-0.8763497128563302
1090000024.0,Rising,89.44,72.67,55.9,40.0,68.33333333333333,6,2025-04-28 to 2025-06-09,-0.8613790235280446,-0.8613790235280446
1090000028.0,Rising,129.87,119.88,99.9,19.445,16.666666666666668,6,2025-04-28 to 2025-06-09,-0.8928073415817059,-0.8928073415817059
1090000103.0,Rising,41.88,31.410000000000004,27.92,98.0,14.0,5,2025-04-28 to 2025-06-09,-0.7726978049869424,-0.7726978049869424
1090000330.0,Rising,29.900000000000002,26.910000000000004,17.94,22.221666666666664,8.333333333333334,6,2025-05-05 to 2025-06-16,-0.8885618556595946,-0.8885618556595946
1090000383.0,Rising,11.94,9.95,1.99,75.0,0.0,3,2025-04-28 to 2025-06-09,-0.8078644950980691,-0.8078644950980691
1090000504.0,Rising,44.85,41.400000000000006,10.350000000000001,90.2775,187.5,4,2025-05-05 to 2025-06-16,-0.7845054034383848,-0.7845054034383848
1090008031.0,Rising,74.75,65.78,50.83,33.332857142857144,34.285714285714285,7,2025-04-28 to 2025-06-09,-0.8715729951273383,-0.8715729951273383
1090027892.0,Rising,27.0,20.25,6.75,16.666666666666668,0.0,3,2025-04-28 to 2025-06-16,-0.897055375814695,-0.897055375814695
1090074331.0,Rising,32.7,27.25,21.8,10.0,-10.0,5,2025-04-28 to 2025-06-02,-0.9072486193251664,-0.9072486193251664
1102900127.0,Rising,59.88,44.910000000000004,39.92,47.221666666666664,16.666666666666668,6,2025-05-05 to 2025-06-16,-0.8503371924953264,-0.8503371924953264
