sub_department_description,category_description,total_sales,total_qty,total_cost,distinct_products
Grocery,POWERED BEVERAGE MIXES,310.32,72.0,319.73999999999995,1
Grocery,PRETZELS,402.81,74.0,364.66,1
Grocery,RTE POPCORN,1211.82,228.0,991.8,2
Grocery,SLOPPY JOE MIXES,315.27,197.0,286.2245833333333,1
Grocery,SNACK CAKES - MULTI PACKS,4512.03,1595.0,4013.14,12
Grocery,TOMATO JUICE,293.46999999999997,93.0,192.66500000000002,1
Grocery,TORTILLA CHIPS,829.53,159.0,701.19,2
Grocery,WATER BULK,2004.4499999999998,1315.0,1289.003333333333,4
Grocery,WATER PLASTIC BOTTLE,8589.18,2394.0,8260.735833333334,7
Grocery,WHIPPED SALAD DRESSING,1032.44,196.0,1676.29,1
Hand Tools and Tool Accessorie,CONSUMER POWER TOOLS (ACE),1490.0,10.0,875.4000000000001,1
Hand Tools and Tool Accessorie,HEAVY-DUTY POWER TOOLS (ACE),1183.0,7.0,989.59,1
Hand Tools and Tool Accessorie,TOOL BOXES (ACE),619.98,2.0,487.49,2
Hardware,KEYS (ACE),311.22,78.0,16.339166666666667,1
Hot Deli,DELI HOT MISC,28845.4,3413.0,1629.27,13
Hot Deli,DELI ITEMS - MEAT DEPT,1962.42,288.0,2.88,2
Hot Deli,DELI MISC,309.02,51.0,51.0,1
Lawn/Garden/Farm Supplies,ANT BAITS,315.25,37.0,148.0,1
Lawn/Garden/Farm Supplies,BAG PRODUCTS (ACE),3399.56,487.0,1626.87,5
Lawn/Garden/Farm Supplies,WEED CONTROL PRODUCTS (ACE),305.09,11.0,268.62,1
Meat,BEEF GRILLING STEAKS,4858.8,627.0,717.6933333333334,4
Meat,BEEF ROASTS,3437.21,274.0,2.74,2
Meat,Cheese,307.74,26.0,257.14,1
Meat,Fresh Meat Beef,3980.58,395.0,3.95,3
Meat,Fresh Meat Chicken,1618.93,302.0,428.06,2
Meat,Fresh Meat Ground Beef,2443.87,280.0,1587.6297222222222,4
Meat,Fresh Meat Pork Boneless Loin,2681.0699999999997,252.0,286.985,4
Meat,Fresh Meat Pork Misc.,624.42,28.0,251.16000000000003,1
Meat,Fresh Meat Pork Spare Rib,342.59,44.0,0.44,1
Meat,Frozen Meat,1539.04,164.0,894.0533333333333,4
Meat,Frozen Meat Breaded Chicken,310.54,26.0,187.87600000000003,1
Meat,Frozen Meat Fish Whole,1183.27,133.0,809.9668333333334,2
Meat,Frozen Meat Patties,3143.68,160.0,1803.9066666666668,4
Meat,Frozen Meat Sausage,736.1300000000001,148.0,515.205,2
Meat,Frozen Meat Sausage & Biscuits,440.27,33.0,299.47499999999997,1
Meat,Frozen Poultry,309.68,32.0,204.90666666666667,1
Meat,Holiday Hams,311.78000000000003,22.0,208.96333333333334,1
Meat,MEAT MISC,5658.98,509.0,3720.809166666667,8
Meat,Meat Misc.,8094.55,1507.0,1196.11,2
Meat,SMOKED MEATS BRATS,4046.32,796.0,3387.5143333333335,6
Meat,SMOKED MEATS PEPPERONI,678.65,125.0,460.64125,2
Meat,Salads,788.71,196.0,537.4391666666668,2
