product_code,sales_trend,total_sales,total_prev_week_1_sales,total_prev_week_2_sales,avg_movement_vs_prev_week_1,avg_movement_vs_prev_week_2,week_count,date_range,growth_score_x,growth_score_y
1121000832.0,Stable,19.96,14.97,9.98,0.0,0.0,4,2025-05-05 to 2025-05-26,-0.9225384845908737,-0.9225384845908737
1121000930.0,Stable,9.78,0.0,0.0,0.0,0.0,1,2025-04-28 to 2025-04-28,-0.9225384845908737,-0.9225384845908737
1128400344.0,Stable,4.0,0.0,0.0,0.0,0.0,1,2025-04-28 to 2025-04-28,-0.9225384845908737,-0.9225384845908737
1167506039.0,Stable,9.99,0.0,0.0,0.0,0.0,1,2025-05-12 to 2025-05-12,-0.9225384845908737,-0.9225384845908737
1167521020.0,Stable,269.99,0.0,0.0,0.0,0.0,1,2025-04-28 to 2025-04-28,-0.9225384845908737,-0.9225384845908737
1171155257.0,Stable,21.98,10.99,0.0,0.0,0.0,2,2025-05-05 to 2025-05-19,-0.9225384845908737,-0.9225384845908737
1171155260.0,Stable,10.99,0.0,0.0,0.0,0.0,1,2025-06-09 to 2025-06-09,-0.9225384845908737,-0.9225384845908737
1186310976.0,Stable,5.99,0.0,0.0,0.0,0.0,1,2025-06-09 to 2025-06-09,-0.9225384845908737,-0.9225384845908737
1198401147.0,Stable,14.97,9.98,4.99,0.0,0.0,3,2025-05-26 to 2025-06-09,-0.9225384845908737,-0.9225384845908737
1198401149.0,Stable,14.97,9.98,4.99,0.0,0.0,3,2025-04-28 to 2025-05-19,-0.9225384845908737,-0.9225384845908737
1200000180.0,Stable,11.37,0.0,0.0,0.0,0.0,1,2025-05-12 to 2025-05-12,-0.9225384845908737,-0.9225384845908737
1200001270.0,Stable,23.97,15.98,7.99,0.0,0.0,3,2025-04-28 to 2025-05-19,-0.9225384845908737,-0.9225384845908737
1200002847.0,Stable,3.79,0.0,0.0,0.0,0.0,1,2025-05-26 to 2025-05-26,-0.9225384845908737,-0.9225384845908737
