category,category_description,total_sales,total_qty,distinct_products
9005.0,NABISCO CRACKERS,937.5899999999999,260.0,2
47003.0,NATURAL/ORGANIC/SPECIALTY,934.0799999999999,153.0,2
86050.0,MUSHROOMS,928.6700000000001,313.0,2
36009.0,NEW AGE TEAS,917.23,122.0,2
55001.0,DIPS/FLAVORED SPREADS/DRESSING,916.9499999999999,250.0,1
67010.0,ECONOMY POT PIES,915.3499999999999,677.0,2
100025.0,TOMATOES PACKAGES,914.71,266.0,1
265001.0,WHIPPED TOPPING,905.1700000000001,311.0,2
56050.0,MISC DELI ITEMS,888.2,140.0,2
125015.0,ORGANIC SALADS,861.26,174.0,2
900010.0,BH GIFT CARDS,850.0,14.0,2
33020.0,TORTILLA CHIPS,829.53,159.0,2
80020.0,CHERRIES,828.5,66.0,1
60001.0,BREADS/ROLLS,824.72,208.0,2
19001.0,PEANUT BUTTER,823.82,208.0,2
814161.0,LIQUID PAINT - NATIONAL (ACE),795.8999999999999,10.0,2
54004.0,PASTRY DOUGH,792.89,179.0,2
94051.0,REGRIGERATED DOG FOOD,792.86,36.0,2
91851.0,Salads,788.71,196.0,2
72002.0,PIZZA SNACKS,754.39,61.0,2
86010.0,CABBAGE,737.7,288.0,1
91761.0,Smoked Meats Entrees,736.9000000000001,100.0,2
90741.0,Frozen Meat Sausage,736.1300000000001,148.0,2
91371.0,SMOKED MEATS PEPPERONI,678.65,125.0,2
91501.0,Smoked Meat Lunch Meats,668.94,96.0,2
9007.0,KEEBLER CRACKERS,655.36,158.0,2
876713.0,TRIMMERS/EDGERS/BLOWERS (ACE),648.0,2.0,2
76200.0,T/S BREADS/ROLLS,642.78,72.0,1
71002.0,PREMIUM PIZZA,639.36,64.0,2
21001.0,SPORT DRINKS-LIQUID,632.73,87.0,2
82040.0,CALIFORNIA ORANGES,629.52,108.0,1
90381.0,Fresh Meat Pork Misc.,624.42,28.0,1
820278.0,TOOL BOXES (ACE),619.98,2.0,2
26003.0,PAPER TOWELS,617.58,38.0,1
4001.0,PACKAGED CANDY,617.57,91.0,1
87080.0,GREEN ONIONS,608.4399999999999,285.0,1
54003.0,BISCUIT DOUGH,607.26,178.0,2
8007.0,BARBECUE SAUCES,579.02,246.0,1
29012.0,MAC & CHEESE DRY DINNERS,575.55,435.0,1
77205.0,TURKEY BREAST,548.19,66.0,1
50004.0,GRATED CHEESE,510.38000000000005,142.0,1
78000.0,TROPICAL FRUIT,497.32,148.0,1
6002.0,MILK ADDITIVES LIQUID,494.39000000000004,126.0,1
88015.0,ONIONS YELLOW,488.52000000000004,123.0,1
81010.0,CANTALOUPE,485.02000000000004,98.0,1
97001.0,CHARCOAL INSTANT LIGHT,472.77,37.0,1
97003.0,CHARCOAL LARGE BAG,459.75,42.0,1
73030.0,ECONOMY ICE CREAM,455.44,64.0,1
880877.0,BIRD PRODUCTS (ACE),440.7,30.0,1
90721.0,Frozen Meat Sausage & Biscuits,440.27,33.0,1
67005.0,MULIT SERVE ECOMONY MEALS,440.15999999999997,106.0,1
8005.0,MEAT SAUCE,435.74,140.0,1
67004.0,SINGLE SERVE PREMIUM MEALS,422.45000000000005,71.0,1
90040.0,DRESSINGS,418.66,84.0,1
32002.0,COOKING OIL,415.61,39.0,1
76210.0,T/S DONUTS,406.51,134.0,1
33005.0,PRETZELS,402.81,74.0,1
130010.0,GREEN PLANTS,401.78,22.0,1
220002.0,HALF & HALF,400.59000000000003,96.0,1
26002.0,TOILET TISSUE,397.18,32.0,1
57001.0,100% JUICE,391.06,44.0,1
100015.0,TOMATOES ROMA,386.74,297.0,1
86015.0,GREEN BEANS,373.69,156.0,1
71099.0,MISC PIZZA,371.55,85.0,1
5002.0,CEREAL RTE ALL FAMILY,364.28000000000003,107.0,1
225001.0,NON-DAIRY TOPPINGS,361.94,96.0,1
91551.0,Smoked Meats Shaved Lunchmeats,352.19,61.0,1
41001.0,CORN,349.74,387.0,1
110005.0,FRESH PREPARED VARIETY,349.21000000000004,59.0,1
89000.0,POTATOES,346.37,73.0,1
220005.0,NATURAL/ORGANIC/SPECIALTY,343.31,69.0,1
51003.0,PROCESSED LOAVES,336.87,43.0,1
57002.0,DRINKS/PUNCH/ADES,333.19,65.0,1
74010.0,WATER ICE/FRUIT,332.29,59.0,1
72007.0,TRADITIONAL SANDWICHES,331.26,26.0,1
55004.0,YOGURT SPOONABLE,327.46,48.0,1
80060.0,PEARS,315.9,112.0,1
87000.0,SALAD VEGETABLES,315.43,107.0,1
24013.0,SLOPPY JOE MIXES,315.27,197.0,1
96003.0,ANT BAITS,315.25,37.0,1
8015.0,MEXICAN SAUCES SALSA/PICANTE,315.09,68.0,1
26010.0,DISPOSABLE DISHES,313.18,42.0,1
33099.0,MISC SNACKS,311.40000000000003,60.0,1
850510.0,KEYS (ACE),311.22,78.0,1
90761.0,Frozen Meat Breaded Chicken,310.54,26.0,1
36003.0,POWERED BEVERAGE MIXES,310.32,72.0,1
90901.0,Frozen Poultry,309.68,32.0,1
91801.0,Cheese,307.74,26.0,1
54002.0,BREAD ROLLS BUN DOUGH,306.68,94.0,1
89010.0,RED,305.88,62.0,1
870753.0,WEED CONTROL PRODUCTS (ACE),305.09,11.0,1
29014.0,PASTA SALADS DRY,304.22,144.0,1
41003.0,GREEN BEANS,299.26,306.0,1
20001.0,TOMATO JUICE,293.46999999999997,93.0,1
73070.0,SINGLE SERVE,292.36,64.0,1
67007.0,MULTI SERVE PREMIUM MEALS,291.61,19.0,1
