category,category_description,sub_department,sub_department_description,total_sales,total_qty,distinct_products
828286.0,HEAVY-DUTY POWER TOOLS (ACE),828.0,Power Tools,1673.0,7.0,4
90401.0,Fresh Meat Chicken,9.0,Meat,1618.93,302.0,2
76100.0,DONUTS,13.0,Cold Deli,1610.35,185.0,2
91101.0,Smoked Meat Bologna,9.0,Meat,1561.03,712.0,4
90701.0,Frozen Meat,9.0,Meat,1539.04,164.0,4
30004.0,LIQUID SALAD DRESSING,1.0,Grocery,1521.2,314.0,2
828285.0,CONSUMER POWER TOOLS (ACE),820.0,Hand Tools and Tool Accessorie,1490.0,10.0,1
53002.0,BUTTER,6.0,Dairy,1465.87,338.0,3
91751.0,Smoked Meats Side Dishes,9.0,Meat,1465.45,315.0,2
87010.0,AVOCADOES,25.0,Wic Produce,1371.08,924.0,1
55003.0,SOUR CREAM,6.0,Dairy,1368.89,476.0,2
88010.0,ONIONS VARIETY,25.0,Wic Produce,1346.26,428.0,2
52001.0,BRICK,6.0,Dairy,1345.55,329.0,2
29013.0,MAC & CHEESE LIQUID DINNERS,1.0,Grocery,1312.24,311.0,3
80050.0,PEACHES,25.0,Wic Produce,1300.81,341.0,1
89020.0,RUSSET,25.0,Wic Produce,1300.39,531.0,1
36001.0,SOFT DRINKS REGULAR,45.0,Soft Drinks,1300.3400000000001,193.0,3
220001.0,CREAM/CREAMERS,6.0,Dairy,1299.03,147.0,2
90151.0,WHOLE BEEF,21.0,Meat by #,1293.92,16.0,1
999994.0,PRODUCE MISC,11.0,Produce,1291.83,67.0,3
7009.0,COFFEE MAINSTREAM CORE LARGE C,1.0,Grocery,1288.71,117.0,2
76000.0,BAKERY ITEMS,13.0,Cold Deli,1288.48,225.0,3
86045.0,CORN,25.0,Wic Produce,1256.21,4095.0,1
33011.0,RTE POPCORN,1.0,Grocery,1211.82,228.0,2
83015.0,WASHINGTON BAGS,25.0,Wic Produce,1206.0500000000002,245.0,2
90601.0,Frozen Meat Fish Whole,9.0,Meat,1183.27,133.0,2
828286.0,HEAVY-DUTY POWER TOOLS (ACE),820.0,Hand Tools and Tool Accessorie,1183.0,7.0,1
86060.0,SQUASH,25.0,Wic Produce,1144.28,454.0,2
828285.0,CONSUMER POWER TOOLS (ACE),828.0,Power Tools,1110.0,10.0,2
999999.0,MISCELLANEOUS PRODUCTS,29.0,Floral,1109.48,52.0,1
999998.0,MEAT MISC,21.0,Meat by #,1106.57,29.0,1
30002.0,MAYONNAISE,1.0,Grocery,1104.97,203.0,2
956001.0,PROPANE,3.0,Nonfood,1097.6499999999999,35.0,2
36099.0,MISC WATER SOFT DRINKS MIXES,1.0,Grocery,1067.04,219.0,2
89070.0,POTATOES VARIETY,25.0,Wic Produce,1058.25,215.0,2
91541.0,Smoked Meats Lunchables Protei,9.0,Meat,1035.0500000000002,797.0,3
50005.0,NATURAL SHREDDED CHEESE,24.0,Wic Dairy,1033.73,265.0,3
29023.0,MEXICAN - SHELLS,1.0,Grocery,1033.54,318.0,3
30001.0,WHIPPED SALAD DRESSING,1.0,Grocery,1032.44,196.0,1
876726.0,GAS POWER MOWERS (ACE),876.0,Outdoor Equipment and Power To,998.0,2.0,2
82000.0,CITRUS,25.0,Wic Produce,984.21,1555.0,2
76260.0,T/S COOKIES,13.0,Cold Deli,960.07,193.0,3
81040.0,MELONS VARIETY,25.0,Wic Produce,946.5200000000001,238.0,1
9005.0,NABISCO CRACKERS,1.0,Grocery,937.5899999999999,260.0,2
47003.0,NATURAL/ORGANIC/SPECIALTY,6.0,Dairy,934.0799999999999,153.0,2
86050.0,MUSHROOMS,25.0,Wic Produce,928.6700000000001,313.0,2
36009.0,NEW AGE TEAS,45.0,Soft Drinks,917.23,122.0,2
55001.0,DIPS/FLAVORED SPREADS/DRESSING,6.0,Dairy,916.9499999999999,250.0,1
67010.0,ECONOMY POT PIES,7.0,Frozen Food,915.3499999999999,677.0,2
100025.0,TOMATOES PACKAGES,25.0,Wic Produce,914.71,266.0,1
265001.0,WHIPPED TOPPING,7.0,Frozen Food,905.1700000000001,311.0,2
120000.0,FRUIT PRECUT FRESH,11.0,Produce,902.69,155.0,1
56050.0,MISC DELI ITEMS,13.0,Cold Deli,888.2,140.0,2
50002.0,NATURAL SLICED CHEESE,24.0,Wic Dairy,868.8800000000001,330.0,2
125015.0,ORGANIC SALADS,25.0,Wic Produce,861.26,174.0,2
900010.0,BH GIFT CARDS,49.0,BlackHawk NonTaxable,850.0,14.0,2
89020.0,RUSSET,11.0,Produce,843.44,286.0,1
33020.0,TORTILLA CHIPS,1.0,Grocery,829.53,159.0,2
80020.0,CHERRIES,25.0,Wic Produce,828.5,66.0,1
60001.0,BREADS/ROLLS,7.0,Frozen Food,824.72,208.0,2
814161.0,LIQUID PAINT - NATIONAL (ACE),814.0,Paint and Paint Supplies,795.8999999999999,10.0,2
54004.0,PASTRY DOUGH,6.0,Dairy,792.89,179.0,2
94051.0,REGRIGERATED DOG FOOD,3.0,Nonfood,792.86,36.0,2
91851.0,Salads,9.0,Meat,788.71,196.0,2
