customer_number,total_accrued_points,total_redeemed_points
41461001880,268,100
41461002120,708,1350
41461002274,1039,350
41461002310,702,1050
41461002488,1192,1500
41461002558,246,600
41461002802,471,250
41461003415,47,150
41461003454,830,650
41461003670,2306,1100
41461004311,45,200
41461004322,674,100
41461004464,996,500
41461004497,282,150
41461005150,23,100
41461005353,358,150
41781001300,436,650
44000001703,512,150
44000057435,1215,1500
44000057851,617,250
44000058650,366,600
44000059993,771,450
44000060857,2071,2850
44000061826,527,800
44000090093,245,50
44000093415,3111,1750
44000095308,535,850
44000095658,1734,1350
44000097866,1938,1200
44000098369,1541,1900
44000098442,254,200
44000098463,435,150
44000098581,1067,550
44000099265,1112,1650
44000100629,1504,1800
44000101117,720,150
44000101500,4018,4050
44000101794,330,850
44000101910,77,3200
44000102862,469,550
44000106601,316,200
44000109528,1541,1450
44000111228,31,50
44000114487,226,150
44000114751,189,200
44000115441,761,150
44000116172,668,200
44000116367,562,300
44000116458,4921,4900
44000117250,15,50
44000195208,1481,950
44000196356,426,350
44000196997,72,300
44000197581,725,150
44000197591,782,1100
44000199254,561,950
44000208586,919,1250
44000220797,349,350
44000223127,80,1250
44000224764,2498,2250
44000230208,416,450
44000238045,63,300
44000238962,941,150
44000252804,1772,750
44000254078,70,50
44000256146,466,500
44000257002,809,850
44000263428,466,250
44000270271,216,250
44000271132,75,350
44000271626,1600,600
44000275708,127,300
44000280829,942,450
44000283287,903,200
44000283924,1122,1400
44000296620,135,50
44000297832,3149,1600
44000299859,576,200
44000300699,550,700
44000301758,495,650
44000313511,135,1200
44000323352,4819,5689
44000326767,1585,1700
44000335104,8,50
44000341014,511,400
44000345282,1284,2050
44000346864,105,150
44000351973,69,450
44000353102,1957,2350
44000359615,347,400
44000362682,1116,450
