"customer_id","storeid","sale_date","sale_id","total_sales","qty","member_level"
"40000014332.0","1400","2025-06-01 00:00:00","48770","4.29","1","4"
"40000014332.0","1400","2025-06-01 00:00:00","48770","0.76","1","4"
"40000014332.0","1400","2025-06-01 00:00:00","48770","2.99","1","4"
"40000002641.0","1400","2025-06-01 00:00:00","48773","7.99","1","4"
"40000002641.0","1400","2025-06-01 00:00:00","48773","4.99","1","4"
"40000002641.0","1400","2025-06-01 00:00:00","48773","14.99","1","4"
"40000002641.0","1400","2025-06-01 00:00:00","48773","4","1","4"
"40000002641.0","1400","2025-06-01 00:00:00","48773","2.59","1","4"
"40000002641.0","1400","2025-06-01 00:00:00","48773","11.19","1","4"
"40000002641.0","1400","2025-06-01 00:00:00","48773","12.99","1","4"
"40000002641.0","1400","2025-06-01 00:00:00","48773","9.99","1","4"
"40000002641.0","1400","2025-06-01 00:00:00","48773","9.99","1","4"
"40000002641.0","1400","2025-06-01 00:00:00","48773","11.49","1","4"
"40000002641.0","1400","2025-06-01 00:00:00","48773","12.99","1","4"
"40000002641.0","1400","2025-06-01 00:00:00","48773","2.5","1","4"
"40000002641.0","1400","2025-06-01 00:00:00","48773","4.39","1","4"
"40000002641.0","1400","2025-06-01 00:00:00","48773","15.99","1","4"
"40000002641.0","1400","2025-06-01 00:00:00","48773","4.65","1","4"
"40000002641.0","1400","2025-06-01 00:00:00","48773","6.29","1","4"
"40000002641.0","1400","2025-06-01 00:00:00","48773","3.69","1","4"
"40000002641.0","1400","2025-06-01 00:00:00","48773","9.99","1","4"
"40000002641.0","1400","2025-06-01 00:00:00","48773","4.49","1","4"
"40000002641.0","1400","2025-06-01 00:00:00","48773","5.49","1","4"
"40000002641.0","1400","2025-06-01 00:00:00","48773","4.65","1","4"
"40000002641.0","1400","2025-06-01 00:00:00","48773","5.49","1","4"
"40000002641.0","1400","2025-06-01 00:00:00","48773","3.49","1","4"
"40000002641.0","1400","2025-06-01 00:00:00","48773","9.99","1","4"
"40000002641.0","1400","2025-06-01 00:00:00","48773","4.99","1","4"
"40000002641.0","1400","2025-06-01 00:00:00","48773","3.69","1","4"
"40000002641.0","1400","2025-06-01 00:00:00","48773","3.69","1","4"
"40000002641.0","1400","2025-06-01 00:00:00","48773","1.69","1","4"
"40000002641.0","1400","2025-06-01 00:00:00","48773","3.69","1","4"
"40000002641.0","1400","2025-06-01 00:00:00","48773","19.57","1","4"
"40000002641.0","1400","2025-06-01 00:00:00","48773","12.49","1","4"
"40000002641.0","1400","2025-06-01 00:00:00","48773","3.69","1","4"
"40000002641.0","1400","2025-06-01 00:00:00","48773","7.15","1","4"
"40000002641.0","1400","2025-06-01 00:00:00","48773","4","1","4"
"40000002641.0","1400","2025-06-01 00:00:00","48773","5.99","1","4"
"40000002641.0","1400","2025-06-01 00:00:00","48773","3.49","1","4"
"40000002641.0","1400","2025-06-01 00:00:00","48773","4.49","1","4"
"40000002641.0","1400","2025-06-01 00:00:00","48773","4.99","1","4"
"40000002641.0","1400","2025-06-01 00:00:00","48773","7.49","1","4"
"40000002641.0","1400","2025-06-01 00:00:00","48773","3.69","1","4"
"40000003105.0","1400","2025-06-01 00:00:00","48774","11.93","1","8"
"40000003105.0","1400","2025-06-01 00:00:00","48774","2.69","1","8"
"41453003149.0","1400","2025-06-01 00:00:00","48775","10.45","1","4"
"41453003149.0","1400","2025-06-01 00:00:00","48775","2.58","1","4"
"41453003149.0","1400","2025-06-01 00:00:00","48775","2.99","1","4"
"41453003149.0","1400","2025-06-01 00:00:00","48775","5.51","1","4"
"41453003149.0","1400","2025-06-01 00:00:00","48775","4.59","1","4"
"41453003149.0","1400","2025-06-01 00:00:00","48775","2.35","1","4"
"41453003149.0","1400","2025-06-01 00:00:00","48775","1.29","1","4"
"41453003149.0","1400","2025-06-01 00:00:00","48775","3.84","1","4"
"41453003149.0","1400","2025-06-01 00:00:00","48775","1.5","1","4"
"41453003149.0","1400","2025-06-01 00:00:00","48775","2.06","1","4"
"41453003149.0","1400","2025-06-01 00:00:00","48775","3.19","1","4"
"41453003149.0","1400","2025-06-01 00:00:00","48775","1.29","1","4"
"41453003149.0","1400","2025-06-01 00:00:00","48775","19.99","1","4"
"41453003149.0","1400","2025-06-01 00:00:00","48775","2.5","1","4"
"41453003149.0","1400","2025-06-01 00:00:00","48775","1.5","1","4"
"41453021084.0","1400","2025-06-01 00:00:00","48777","6.99","1","4"
"41453021084.0","1400","2025-06-01 00:00:00","48777","5.75","1","4"
"41453021084.0","1400","2025-06-01 00:00:00","48777","9.99","1","4"
"41453021084.0","1400","2025-06-01 00:00:00","48777","1.07","1","4"
"41453016545.0","1400","2025-06-01 00:00:00","48778","1.5","1","8"
"41453016545.0","1400","2025-06-01 00:00:00","48778","11.99","1","8"
"41453016545.0","1400","2025-06-01 00:00:00","48778","2.3","1","8"
"41453016545.0","1400","2025-06-01 00:00:00","48778","5.99","1","8"
"41453016545.0","1400","2025-06-01 00:00:00","48778","1.5","1","8"
"41453017192.0","1400","2025-06-01 00:00:00","48779","8.71","1","8"
"41453017192.0","1400","2025-06-01 00:00:00","48779","7.71","1","8"
"41453017192.0","1400","2025-06-01 00:00:00","48779","2.1","1","8"
"41453017192.0","1400","2025-06-01 00:00:00","48779","6.99","1","8"
"41453017192.0","1400","2025-06-01 00:00:00","48779","7.99","1","8"
"41453017192.0","1400","2025-06-01 00:00:00","48779","3.49","1","8"
"41453017192.0","1400","2025-06-01 00:00:00","48779","6.99","1","8"
"41453017192.0","1400","2025-06-01 00:00:00","48779","2.69","1","8"
"40000013384.0","1400","2025-06-01 00:00:00","48781","5.99","1","8"
"40000013384.0","1400","2025-06-01 00:00:00","48781","4.99","1","8"
"40000013384.0","1400","2025-06-01 00:00:00","48781","4.99","1","8"
"40000013384.0","1400","2025-06-01 00:00:00","48781","2.99","1","8"
"40000013646.0","1400","2025-06-01 00:00:00","48783","1.39","1","8"
"40000013646.0","1400","2025-06-01 00:00:00","48783","12.78","1","8"
"40000013646.0","1400","2025-06-01 00:00:00","48783","6.5","1","8"
"40000013646.0","1400","2025-06-01 00:00:00","48783","5.99","1","8"
"40000013646.0","1400","2025-06-01 00:00:00","48783","5.89","1","8"
"40000013646.0","1400","2025-06-01 00:00:00","48783","0.33","1","8"
"40000013646.0","1400","2025-06-01 00:00:00","48783","7.99","1","8"
"40000013646.0","1400","2025-06-01 00:00:00","48783","4.58","2","8"
"40000013646.0","1400","2025-06-01 00:00:00","48783","1.21","1","8"
"40000013646.0","1400","2025-06-01 00:00:00","48783","4.39","1","8"
"40000013646.0","1400","2025-06-01 00:00:00","48783","1.29","1","8"
"44000367833.0","1400","2025-06-01 00:00:00","48784","8.07","1","4"
"44000367833.0","1400","2025-06-01 00:00:00","48784","4.31","1","4"
"44000367833.0","1400","2025-06-01 00:00:00","48784","3.26","1","4"
"44000367833.0","1400","2025-06-01 00:00:00","48784","10.99","1","4"
"44000367833.0","1400","2025-06-01 00:00:00","48784","10.99","1","4"
"44000364410.0","1400","2025-06-01 00:00:00","48787","2.39","1","4"
"44000291285.0","1400","2025-06-01 00:00:00","48789","0.99","1","4"
"44000291285.0","1400","2025-06-01 00:00:00","48789","3.29","1","4"
"44000291285.0","1400","2025-06-01 00:00:00","48789","22.99","1","4"
"40000013144.0","1400","2025-06-01 00:00:00","48793","3.12","1","4"
"40000013144.0","1400","2025-06-01 00:00:00","48793","3.79","1","4"
"40000013144.0","1400","2025-06-01 00:00:00","48793","2.26","1","4"
"40000013144.0","1400","2025-06-01 00:00:00","48793","3.79","1","4"
"40000013144.0","1400","2025-06-01 00:00:00","48793","3.79","1","4"
"40000013144.0","1400","2025-06-01 00:00:00","48793","6.99","1","4"
