"sale_date","sale_id","product_code","product_description","qty","total_sales","sub_department_description","sale_type","item_ring_type"
"2025-05-15 00:00:00","174098","7603310196.0","PEPPERONI RIP AND DIP 8.5 OZ","1","4.99","Cold Deli","Sale","ITEM"
"2025-05-15 00:00:00","124213","7618300777.0","SNAPPLE KIWI STRAWBERRY JCE  6 PK 96 OZ","1","7.29","Soft Drinks","Sale","ITEM"
"2025-05-15 00:00:00","106376","7590000530.0","BOB EVANS MAC CHEESE 20 OZ","1","4.79","Meat","Sale","ITEM"
"2025-05-15 00:00:00","149746","7590000530.0","BOB EVANS MAC CHEESE 20 OZ","1","4.79","Meat","Sale","ITEM"
"2025-05-15 00:00:00","149817","7585600110.0","KLONDIKE ORIGINAL BARS 6 CT 27 OZ","1","3.99","Frozen Food","Sale","ITEM"
"2025-05-15 00:00:00","149823","7585601113.0","KLONDIKE HEATH BAR 6 CT 24 OZ","1","3.99","Frozen Food","Sale","ITEM"
"2025-05-15 00:00:00","174093","7518209385.0","AUTO CLEANING CLOTH 12PK","1","14.99","Automotive","Sale","ITEM"
"2025-05-15 00:00:00","174153","7527895144.0","FF 20 CT MINI CD 3 OZ","1","3.99","Meat","Sale","ITEM"
"2025-05-15 00:00:00","149825","7430500132.0","BRAGG VNGR APPLE CIDER ORG 32 OZ","1","6.85","Grocery","Sale","ITEM"
"2025-05-15 00:00:00","149877","7465379187.0","JACKS THIN PEPPERONI 14.3 OZ","1","4.79","Frozen Food","Sale","ITEM"
"2025-05-15 00:00:00","124229","7453490164.0","BUDGET SVR TWIN POPS 18 CT 42.3 OZ","1","3.99","Frozen Food","Sale","ITEM"
"2025-05-15 00:00:00","124280","7349716345.0","MACS PORK SKINS 3 OZ","1","2.59","Grocery","Sale","ITEM"
"2025-05-15 00:00:00","124336","7342001614.0","DAISY SQUEEZE SOUR CREAM 14 OZ","1","2.59","Dairy","Sale","ITEM"
"2025-05-15 00:00:00","479625","7312401804.0","TF BLUEBRY BAG 20 OZ","1","3.59","Cold Deli","Sale","ITEM"
"2025-05-15 00:00:00","149883","7294011346.0","RED GOLD TOMATO JUICE 46 OZ","1","3.19","Grocery","Sale","ITEM"
"2025-05-15 00:00:00","374503","7294560133.0","SL CL WHITE 20 OZ","1","2.89","Grocery","Sale","ITEM"
"2025-05-15 00:00:00","479785","7294560134.0","SL CL 100% WW 20 OZ","1","2.79","Wic Grocery","Sale","ITEM"
"2025-05-15 00:00:00","124232","7273071935.0","PF PREMIUM FRENCH VANILLA 48 OZ","1","4.99","Frozen Food","Sale","ITEM"
"2025-05-15 00:00:00","124267","7273072024.0","PF PREMIUM PRALINE PECAN 48 OZ","1","4.99","Frozen Food","Sale","ITEM"
"2025-05-15 00:00:00","106354","7273072029.0","PF CHOC MALT MLK SHK 48 OZ","1","4.99","Frozen Food","Sale","ITEM"
"2025-05-15 00:00:00","124290","7273062040.0","PF ICE CRM SAND 24 OZ","1","3.99","Frozen Food","Sale","ITEM"
"2025-05-15 00:00:00","149743","7273065041.0","PF NEOP SNDWICH 42 OZ","1","8.29","Frozen Food","Sale","ITEM"
"2025-05-15 00:00:00","479758","7273031510.0","PF COTTAGE CHEESE 24 OZ","1","4.99","Dairy","Sale","ITEM"
"2025-05-15 00:00:00","106355","7273033110.0","PF DIP ONION 16 OZ","1","3.69","Dairy","Sale","ITEM"
"2025-05-15 00:00:00","174076","7273026406.0","PRAIRIE FARMS CHOCOLATE MILK 16 OZ","1","1.59","Dairy","Sale","ITEM"
"2025-05-15 00:00:00","174193","7273026406.0","PRAIRIE FARMS CHOCOLATE MILK 16 OZ","1","1.59","Dairy","Sale","ITEM"
"2025-05-15 00:00:00","124332","7273031411.0","PRAIRIE FARMS COTTAGE CH 3 LB","1","9.79","Dairy","Sale","ITEM"
"2025-05-15 00:00:00","174083","7273026307.0","PF DUTCH CHOCOLATE MILK 32 OZ","1","1.59","Dairy","Sale","ITEM"
