transaction_date,store,terminal,customer_number,transaction_number,points
2/28/2025,461,2,44000306051,399378,28
2/28/2025,461,4,40000020232,178017,30
2/28/2025,461,2,44000109528,399379,46
2/28/2025,461,2,2.4327E+13,399387,14
2/28/2025,461,2,44000196682,399390,129
2/28/2025,461,2,40000020201,399398,24
2/28/2025,461,4,40000020063,178021,17
2/28/2025,461,4,40000020716,178023,10
2/28/2025,461,2,40000020119,399400,62
2/28/2025,461,4,44000105234,178027,39
2/28/2025,461,4,40000020073,178030,59
2/28/2025,461,4,40000011044,178033,18
2/28/2025,461,2,40000020678,399412,19
2/28/2025,461,2,41461004634,399417,4
2/28/2025,461,4,44000355648,178039,66
2/28/2025,461,4,40000020085,178041,31
2/28/2025,461,2,41461004531,399420,63
2/28/2025,461,2,40000020523,399422,19
2/28/2025,461,4,40000020018,178043,32
2/28/2025,461,4,40000031624,178044,30
2/28/2025,461,2,41450007268,399423,31
2/28/2025,461,2,44000092118,399424,60
2/28/2025,461,2,40000029308,399425,23
2/28/2025,461,2,40000021138,399427,17
2/28/2025,461,4,40000021051,178053,14
2/28/2025,461,2,40000021793,399432,27
2/28/2025,461,2,41461004634,399434,2
2/28/2025,461,2,41452004977,399436,95
2/28/2025,461,4,44000105123,178055,15
2/28/2025,461,2,40000005096,399442,11
2/28/2025,461,2,6.609E+11,399447,17
2/28/2025,461,4,40000028065,178060,36
2/28/2025,461,2,40000020531,399450,138
2/28/2025,461,2,44000233414,399451,38
2/28/2025,461,4,44000058650,178069,19
2/28/2025,461,2,44000296852,399459,4
2/28/2025,461,2,41461004351,399460,16
2/28/2025,461,2,40000050137,399461,71
2/28/2025,461,2,44000099265,399467,25
2/28/2025,461,2,40000020760,399462,92
2/28/2025,461,4,40000020526,178072,46
2/28/2025,461,2,40000020071,399471,81
2/28/2025,461,2,40000020263,399472,26
2/28/2025,461,2,40000020170,399474,24
2/28/2025,461,3,44000098581,181212,80
2/28/2025,461,3,40000020061,181213,16
2/28/2025,461,3,40000020337,181214,17
2/28/2025,461,3,41461002145,181215,28
2/28/2025,461,2,40000020495,399479,132
2/28/2025,461,2,40000004350,399486,48
2/28/2025,461,2,41461000052,399488,77
2/28/2025,461,3,44000060857,181219,24
2/28/2025,461,3,41451003636,181222,22
2/28/2025,461,2,40000027523,399481,39
2/28/2025,461,2,44000326767,399489,84
2/28/2025,461,3,44000323352,181227,72
2/28/2025,461,2,40000021918,399495,39
2/28/2025,461,2,40000020408,399484,12
2/28/2025,461,2,40000007945,399492,89
2/28/2025,461,3,40000020264,181230,51
2/28/2025,461,3,40000020637,181234,89
2/28/2025,461,3,44000362287,181249,13
2/28/2025,461,4,40000021006,178085,48
2/28/2025,461,4,44000212137,178087,48
2/28/2025,461,3,40000021035,181263,76
2/28/2025,461,2,40000020441,399516,50
2/28/2025,461,2,40000020377,399522,39
2/28/2025,461,2,41461002090,399504,14
2/28/2025,461,2,40000020358,399510,13
2/28/2025,461,2,40000020907,399511,108
2/28/2025,461,3,40000020390,181245,64
2/28/2025,461,4,40000020314,178077,9
2/28/2025,461,3,40000020821,181251,22
2/28/2025,461,4,40000020840,178082,24
2/28/2025,461,3,44000254015,181267,8
2/28/2025,461,2,44000061826,399518,34
2/28/2025,461,2,2.43269E+13,399519,18
2/28/2025,461,1,40000021695,362595,37
2/28/2025,461,1,40000021161,362596,11
2/28/2025,461,2,40000020612,399526,47
2/28/2025,461,2,44000336598,399529,63
2/28/2025,461,2,41450012859,399533,12
2/28/2025,461,2,40000021225,399544,93
2/28/2025,461,2,40000020720,399547,64
2/28/2025,461,4,41461000505,178090,51
2/28/2025,461,4,44000291227,178091,19
2/28/2025,461,4,40000021140,178092,15
2/28/2025,461,4,44000198202,178093,16
2/28/2025,461,2,41461005350,399551,34
3/1/2025,461,1,40000020647,362598,7
3/1/2025,461,1,44000107555,362600,15
2/28/2025,461,2,44000267190,399557,45
2/28/2025,461,2,40000020792,399568,60
2/28/2025,461,2,40000020720,399549,45
2/28/2025,461,2,41461004634,399560,7
2/28/2025,461,2,40000020994,399575,60
2/28/2025,461,2,40000021447,399572,23
3/1/2025,461,1,41461005093,362603,99
3/1/2025,461,2,44000105234,399613,39
3/1/2025,461,1,44000098815,362608,19
3/1/2025,461,2,44000283287,399610,89
3/1/2025,461,2,44000322339,399612,97
3/1/2025,461,2,44000116967,399618,58
3/1/2025,461,2,44000255060,399619,96
3/1/2025,461,2,40000020063,399622,68
3/1/2025,461,2,44000252804,399624,50
3/1/2025,461,2,44000255060,399628,9
3/1/2025,461,4,44000205329,178103,41
3/1/2025,461,4,40000021127,178099,29
3/1/2025,461,2,40000020144,399626,5
3/1/2025,461,4,40000021540,178104,4
3/1/2025,461,4,40000020636,178105,90
3/1/2025,461,4,44000116458,178106,36
3/1/2025,461,2,40000028162,399635,30
3/1/2025,461,2,41461002310,399637,27
3/1/2025,461,2,40000027849,399639,50
3/1/2025,461,4,40000020067,178116,34
3/1/2025,461,2,44000277321,399644,114
3/1/2025,461,4,41450002807,178117,25
3/1/2025,461,4,44000263032,178119,197
3/1/2025,461,4,44000344714,178120,8
3/1/2025,461,2,44000263032,399649,10
3/1/2025,461,4,41461000656,178114,124
3/1/2025,461,2,40000031557,399656,22
3/1/2025,461,2,40000020044,399658,28
3/1/2025,461,2,44000265858,399662,56
3/1/2025,461,3,41461001155,181280,6
3/1/2025,461,2,44000343397,399668,94
3/1/2025,461,3,40000020854,181281,69
3/1/2025,461,3,44000221329,181284,47
3/1/2025,461,2,40000022501,399652,3
3/1/2025,461,3,40000022513,181285,19
3/1/2025,461,2,40000016170,399670,63
3/1/2025,461,2,40000020380,399672,38
3/1/2025,461,3,40000020059,181287,53
3/1/2025,461,4,44000095658,178145,211
3/1/2025,461,4,44000327558,178148,46
3/1/2025,461,3,40000020622,181291,74
3/1/2025,461,4,40000020006,178156,46
3/1/2025,461,4,40000020191,178164,24
3/1/2025,461,4,41461004808,178166,18
3/1/2025,461,4,44000298847,178169,7
3/1/2025,461,2,44000257002,399680,47
3/1/2025,461,3,44000197591,181295,14
3/1/2025,461,4,44000109917,178173,88
3/1/2025,461,3,40000022501,181296,51
3/1/2025,461,3,41461003922,181297,24
3/1/2025,461,4,41450012170,178165,32
3/1/2025,461,4,40000030438,178168,97
3/1/2025,461,4,44000061729,178175,11
3/1/2025,461,4,40000020876,178170,61
3/1/2025,461,4,44000253425,178172,190
3/1/2025,461,4,41461005320,178178,3
3/1/2025,461,2,40000021181,399690,66
3/1/2025,461,2,40000020048,399693,18
3/1/2025,461,2,40000021273,399702,104
3/1/2025,461,2,40000028530,399706,54
3/1/2025,461,2,41461005221,399709,11
3/1/2025,461,4,40000020050,178183,57
3/1/2025,461,3,44000103986,181309,104
3/1/2025,461,2,40000027640,399713,12
3/1/2025,461,2,44000263838,399708,35
3/1/2025,461,4,40000029233,178182,108
3/1/2025,461,2,40000021355,399716,24
3/1/2025,461,4,44000338996,178186,5
3/1/2025,461,4,44000298847,178191,0
3/1/2025,461,4,40000020944,178194,52
3/1/2025,461,4,40000020063,178195,35
3/1/2025,461,2,40000021148,399723,21
3/1/2025,461,2,2.43269E+13,399727,41
3/1/2025,461,4,40000020012,178196,29
3/1/2025,461,2,44000346154,399735,30
3/1/2025,461,2,41460004900,399740,87
3/1/2025,461,2,40000020150,399739,31
3/1/2025,461,4,41450011599,178197,3
3/1/2025,461,4,40000011044,178200,14
3/1/2025,461,4,40000020963,178203,30
3/1/2025,461,2,44000060857,399746,52
3/1/2025,461,2,40000021180,399750,248
3/1/2025,461,4,41461002819,178215,113
3/1/2025,461,4,40000020030,178217,24
3/1/2025,461,2,40000022060,399757,86
3/1/2025,461,4,44000335705,178220,54
3/1/2025,461,4,40000020562,178222,59
3/1/2025,461,4,40000020762,178229,18
3/1/2025,461,2,40000020766,399752,152
3/1/2025,461,2,40000020167,399754,28
3/1/2025,461,2,44000211373,399759,35
3/1/2025,461,4,44000275863,178224,200
3/1/2025,461,4,40000029386,178227,36
3/1/2025,461,4,40000020762,178232,3
3/1/2025,461,2,40000021638,399768,18
3/1/2025,461,3,40000021539,181314,8
3/1/2025,461,2,41461000687,399756,7
3/1/2025,461,4,40000020562,178221,2
3/1/2025,461,3,40000028493,181311,41
3/1/2025,461,4,40000020762,178230,48
3/1/2025,461,4,40000022501,178231,11
3/1/2025,461,4,44000058650,178234,36
3/1/2025,461,3,40000021123,181315,27
3/1/2025,461,4,41460003537,178237,238
3/1/2025,461,2,40000028847,399774,114
3/1/2025,461,3,40000022645,181318,131
3/1/2025,461,2,44000365221,399775,6
3/1/2025,461,2,44000286879,399777,34
3/1/2025,461,3,41451006068,181322,16
3/1/2025,461,3,40000020337,181325,7
3/1/2025,461,2,40000020533,399788,28
3/1/2025,461,2,44000360474,399793,33
3/1/2025,461,3,40000020861,181328,25
3/1/2025,461,3,40000020048,181329,17
3/1/2025,461,2,44000360594,399799,21
3/1/2025,461,2,41461000008,399803,31
3/1/2025,461,2,41461003852,399804,34
3/1/2025,461,3,41461000838,181333,2
3/1/2025,461,2,40000020612,399818,64
3/1/2025,461,4,40000020349,178243,10
3/1/2025,461,4,41461003403,178240,140
3/1/2025,461,2,41461000505,399821,16
3/1/2025,461,2,40000020418,399823,40
3/1/2025,461,2,5.54647E+13,399824,10
3/1/2025,461,4,44000284952,178249,39
3/1/2025,461,2,40000021052,399830,7
3/1/2025,461,4,40000020269,178259,85
3/1/2025,461,2,44000067453,399836,71
3/1/2025,461,2,44000359597,399839,66
3/1/2025,461,2,40000020534,399848,22
3/1/2025,461,2,41461003638,399841,114
3/1/2025,461,2,40000020165,399849,57
3/1/2025,461,2,44000196205,399850,74
3/1/2025,461,3,44000216633,181356,18
3/1/2025,461,3,44000308434,181363,27
3/1/2025,461,2,40000020950,399852,19
3/1/2025,461,3,41461001113,181368,80
3/2/2025,461,2,40000020668,399873,23
3/2/2025,461,2,41461003454,399877,101
3/2/2025,461,1,40000020970,362616,30
3/2/2025,461,2,40000020444,399890,71
3/2/2025,461,2,44000286801,399892,12
3/2/2025,461,2,44000117084,399875,27
3/2/2025,461,2,40000020062,399882,153
3/2/2025,461,1,44000336290,362618,106
3/2/2025,461,2,44000244049,399900,12
3/2/2025,461,2,40000028235,399878,11
3/2/2025,461,1,40000004131,362620,64
3/2/2025,461,2,40000020688,399909,43
3/2/2025,461,2,40000022502,399912,28
3/2/2025,461,2,2.43269E+13,399914,17
3/2/2025,461,4,41461004808,178274,70
3/2/2025,461,2,40000022522,399911,58
3/2/2025,461,2,44000213073,399910,13
3/2/2025,461,4,40000020631,178276,26
3/2/2025,461,2,40000020446,399925,88
3/2/2025,461,4,44000099265,178280,6
3/2/2025,461,2,40000020179,399926,38
3/2/2025,461,4,4.70978E+13,178283,73
3/2/2025,461,4,41461002274,178287,61
3/2/2025,461,4,44000061826,178292,23
3/2/2025,461,2,40000020754,399941,42
3/2/2025,461,2,40000021575,399927,61
3/2/2025,461,2,40000020011,399930,37
3/2/2025,461,2,41461001059,399931,49
3/2/2025,461,2,44000061826,399933,15
3/2/2025,461,2,41451005188,399942,88
3/2/2025,461,4,41461005351,178301,229
3/2/2025,461,4,41461002558,178302,37
3/2/2025,461,4,40000021528,178293,40
3/2/2025,461,2,41461004544,399945,8
3/2/2025,461,2,40000020534,399949,38
3/2/2025,461,2,40000020578,399952,129
3/2/2025,461,2,40000020084,399953,57
3/2/2025,461,4,41461002411,178313,34
3/2/2025,461,4,40000020441,178314,41
3/2/2025,461,4,41461000396,178308,146
3/2/2025,461,4,41461002314,178323,45
3/2/2025,461,4,44000100629,178325,46
3/2/2025,461,2,41451007934,399958,18
3/2/2025,461,4,40000020390,178322,91
3/2/2025,461,2,44000364189,399969,105
3/2/2025,461,4,44000098581,178330,42
3/2/2025,461,4,40000028322,178331,53
